Tags (Positive),Tags (Negatives),Agg,Rank1,Rank2,Rank3,"Rationale (From the left, 1st = Static, 2nd = Baseline, 3rd = Simple, 4th = Elaborate)"
,,count,simple,elaborate,static,"The first place option was good since it smoothly put all the points at increments of 1 unit, so it was easy to tell. The 2nd place one did this but the transition was not as smooth and harder to follow (or at least uglier so I perceived it that way). The 3rd and 4th don't communicate anything towards ""count"", the 3rd place one doesn't have an animation so it is faster and more effective from time analysis only."
,,sum,simple,elaborate,static,"the 1st one has a line that communicates the points are tied together, so the sum makes more sense. The 2nd one lines them up together, but it makes me think of seperate points in a trend which is not useful, but since it morphs into the first place design, it is good. 3rd place was quicker than the 4th one due to no animation so it was better since 4th doesn't really tell me anything, it just shoves all the points together."
,Animation Unnecessary,max,elaborate,baseline,static,"Little difference among the visualizations. The 1st place one draws attention to the max values so it clues you in on why others are disappearing. Other than that, I feel max is something intuitive enough to understand"
,Animation Unnecessary,min,elaborate,baseline,static,No difference from the previous Max questions. The 1st place transition shows some empasis on the min to understand why others are disappearing but min should be a fairly easy concept to grasp regardless of the transition.
,,avg,elaborate,simple,static,"little difference between first and second, they just let you see the average clearly and distance from the average in the first one. fourth one just combines points which is useless so the third place gets 3rd for being faster than the 4th place one."
,Static is Magic,median,elaborate,simple,static,"First and second both show which points are on which side of calculating the median which is the main clue in. First place lets you see the step by step so it gets first. Fourth place is just confusing, removing the dots doesn't hint me at median, it doesn't hint me towards anything especially since a new dot appears, it could be a new data set."
,Metaphor Unclear,stdev,elaborate,simple,static,"Same answer as calculating the average. Averages are shown the same way and I feel none of them really convey the standard deviation other than it ""appearing"""
Clear Metaphor,,iqr,elaborate,simple,static,"Seeing the separation of points into quartiles step by step in the 1st place transition helps communicate the quartiles and the medians. Doing it step by step lets the user understand how the points are being separated. which puts it above the second one that does not do this. The 4th place one reveals no information, it is just a fade in so since it takes more time than 3rd place, it comes in last."
Clear Metaphor,,count,baseline,simple,elaborate,"The one I ranked first conveyed count the best to me because it showed the elements being combined, and it was a smooth transition. The 2nd best was good because it arranged the points unit distance from each other which very clearly conveyed what it was doing. That may have been better than the first, but I liked the transition on the first better. Third and fourth place just weren't as good because the third transition was not smooth and the fourth had no transition at all and I had to figure out what to make of it with no context."
Clear Metaphor,,sum,elaborate,baseline,simple,"The lines in the transition I ranked first were important in my mind because it showed that it wasn't just a count, it was summing the individual distances from 0. Third place was just like the 2nd place transition but with lines that didn't really convey any meaning to me. Fourth place again just had no context."
,Animation Unnecessary,max,static,elaborate,baseline,"In this case, it was easiest to understand with no transition because the scale wasn't changing and the first place one makes it obvious that we're just ignoring all but the max points. 2nd place was nice because it drew attention to the max points with the horizontal lines, and 3rd place was just too slow."
,,min,static,elaborate,baseline,"Same justification for max, although for some reason the horizontal lines in the second place transition seemed more appealing this time. Not sure why but it didn't make sense to me to rank max and min transitions differently."
Clear Metaphor,Embellished Animation Unnecessary,avg,simple,baseline,elaborate,The first and second are similar in my mind but the horizontal line makes it more clear what it's being combined toward whereas the transition without the line is a little more ambiguous about what it's going toward until the transition ends. The third place was cool but seemed unnecessarily detailed. Fourth place was just unclear because there was no transition.
,Animation Should Be Slower,median,simple,elaborate,baseline,I ranked the third transition 1st place because I thought it did the best job of showing the separation of the top and bottom halves as well as the point added when there was no median point. 2nd place was just a little harder to follow because the transition tried to show each point individually but did it too quickly toward the end and it wasn't really necessary to go point-by-point because there's already a natural separation isn't going to have any interesting outlier points. The 3rd and 4th place transitions just didn't really give a good indication of what it was doing.
,,stdev,elaborate,simple,baseline,"I feel like this is a difficult concept to show, but the 1st place one did a good job because it showed finding the average as well as the individual distances which help understand where the standard deviations come from."
Understandalbe,,iqr,simple,elaborate,baseline,"Given that I didn't understand interquartile range before this, I think the 3rd transition showed it best because it showed the distinctions between the quarters and showed where the median was. The color and position groupings were helpful to my understanding but as with a previous one, the 2nd place transition unnecessarily made each point distinct rather than grouping in the intuitive way. The 3rd and 4th place transitions just didn't really give a good indication of what was going on."
,,count,elaborate,simple,baseline,The more effective transitions have additional steps and detail. They decompose the process into fine-grained sub-steps
Clear Metaphor,,sum,elaborate,baseline,simple,"The best transition uses additional details which accord with how one might imagine arranging elements if they were physical objects in the world. For the second-best transition, I chose the one I was more familiar with from the previous exercise over the one which overlays a single vertical line. I feel the single line does not map to a real-world object metaphor in the same way which the multiple-lines-as-sticks-stacked-end-to-end does, but I may just prefer the transition I was exposed to during the previous exercise due to some sort of priming bias."
,,max,elaborate,baseline,static,The best transition draws additional attention to the significant data points
,,min,elaborate,baseline,static,Same as previous- the best transition draws attention to the elements of interest
,,avg,elaborate,simple,baseline,The additional details in the superior transitions help me as an interpreter to anticipate the location of the calculated mean
Clear Metaphor,Embellished Animation Unnecessary,median,simple,elaborate,baseline,"The use of color to delineate elements on either side of the median is really helpful, but in this case the additional animations don't provide additional clarity. Perhaps here, color is *so* useful, that the additional steps seem a superfluous distraction."
,,stdev,elaborate,simple,baseline,The animations which convey the process of averaging are also useful here.
Clear Metaphor,Embellished Animation Unnecessary,iqr,simple,elaborate,baseline,I extend my reasoning from the median transition and apply it here. Color is supremely useful. Additional animations are distracting.
,,count,elaborate,simple,baseline,Being able to see what operation was happening. Especially seeing the dots being equally spaced and then aggregated helped.
,,sum,elaborate,simple,baseline,"Again, the transition of being able to see the rank being aggregated helped much, along with the changing scale."
,,max,elaborate,baseline,static,"The horizontal line emphasized the maximum effect, which helped me decide the rank."
,,min,elaborate,baseline,static,"Same reason as before, seeing the horizontal line helped me decipher that this was a range."
,,avg,elaborate,baseline,simple,seeing the bar graph enumerated as a distribution of the points really helped to contextualize what was happening in the graph.
Clear Metaphor,,median,elaborate,simple,baseline,The first one was executing the actual process of finding the median by getting rid of numbers and so it was the best.
,,stdev,elaborate,simple,baseline,"Same reasons as before, seeing the bar graph distribution really helped to contextualize what was happening"
,,iqr,elaborate,simple,baseline,The separation of the points by each quartile helped to show that things were being separated into its interquartile range.
,,count,elaborate,simple,baseline,I liked how it lined up on the tick marks
,,sum,elaborate,simple,baseline,I liked seeing the y-axis scale and the vertical lines that lined the dots
,,max,baseline,static,elaborate,I like seeing some animation so I know the graph changed. The lines in the 3rd option seemed too cluttered
,,min,baseline,static,elaborate,Same reasoning as the maximum transitions. I liked the animation to see how the graph is updating
,Metaphor Unclear,avg,baseline,simple,static,I liked the animations. I don't think the line is necessary and I don't think making the circles line up horizontally first added to my understanding
Clear Metaphor,,median,simple,elaborate,baseline,"I liked how the dots change color, since that helps in visualizing counting on both ends to find the median"
,"Metaphor Unclear, Animations Unnecessary",stdev,static,baseline,simple,I don't think making the bars line up horizontally before getting pushed together helped with my understanding. I liked the graph without animations the best in this case just because I don't think the animations helped with my understanding much
,Embellished Animation Unnecessary,iqr,simple,static,baseline,I dont think the fading animation helped with my understanding. I did like the colors
Understandable,,count,simple,elaborate,baseline,Any animation is better than none for letting us establish what changed. The animation I marked as first really conveys the idea of counting obects by placing points equidistant from each other signifying that we don't care about their actual value. The same goes for the one I ranked 2nd but I disliked the multi step nature of the animation. The one I ranked third doesn't make it clear what operation is taking place. Could be a mean for all we know.
,,sum,simple,elaborate,baseline,1st and 2nd place are best at conveying the concept of a sum. I prefer the cleanliness of the 1st better but the 2nd is also good. It's not clear what operation is occurring in 3rd or 4th place.
,,max,elaborate,baseline,static,These are all pretty good. I ranked 1st because it uses the lines to draw your attention to the max but honestly these are all fine.
,,min,elaborate,baseline,static,They're close. Slight preference for 1st but 2nd is fine too.
,,avg,simple,baseline,elaborate,1st and 2nd are good but I like the line 1st draws. 3rd is really fancy but I don't think the fancy animation adds value.
Clear Metaphor,,median,elaborate,simple,baseline,I like the fancy median transition because it makes it very clear what median is. The 2nd place transition is also fantastic. 3rd place it isn't clear that we're taking a median
,Metaphor Unclear,stdev,simple,elaborate,baseline,I don't think that it's obvious that any of these are one standard deviation from the mean. I don't think the extra animation in 2nd place contributed to understanding.
,Metaphor Unclear,iqr,elaborate,simple,baseline,Again the 1st place animation made the process clear. 2nd place gave us a hint. Rest were unclear.
